year,rainfall
1910,	1148.9
1911,	1022.4
1912,	1242
1913,	1027.4
1914,	1118.6
1915,	1075.6
1916,	1202.6
1917,	1042.4
1918,	1136.9
1919,	1034.5
1920,	1139.8
1921,	905.4
1922,	1050.8
1923,	1220
1924,	1177.7
1925,	1062.2
1926,	1094.5
1927,	1217.2
1928,	1258.5
1929,	1063.7
1930,	1180.4
1931,	1114.9
1932,	1105.1
1933,	835.4
1934,	1056.1
1935,	1143.3
1936,	1063.4
1937,	1014.7
1938,,	1183.9
1939,	1097.7
1940,	1047.5
1941,	944.8
1942,	1026.9
1943,	1071.9
1944,	1084.5
1945,	1008.1
1946,	1152.2
1947,	988.5
1948,	1207.9
1949,	1053.1
1950,	1202.4
1951,	1198.3
1952,	1009.6
1953,	952.9
1954,	1309.1
1955,	899.8
1956,	1047.7
1957,	1101.3
1958,	1135.9
1959,	993.2
1960,	1198.8
1961,	1054.3
1962,	1004.6
1963,	975.6
1964,	895.5
1965,	1111.5
1966,	1159.8
1967,	1174.5
1968,	1045.6
1969,	980
1970,	1095
1971,	912.9
1972,	961.2
1973,	905.2
1974,	1153.1
1975,	899.4
1976,	951.5
1977,	1079
1978,	1039.7
1979,	1144.8
1980,	1129
1981,	1156.4
1982,	1170.3
1983,	1061.8
1984,	1066
1985,	1074.3
1986,	1185
1987,	1036.3
1988,	1133
1989,	1020.7
1990,	1175
1991,	999.7
1992,	1188.8
1993,	1122.5
1994,	1186.6
1995,	1025.2
1996,	918
1997,	1025.6
1998,	1267.1
1999,	1239.1
2000,	1337.3
2001,	1052.8
2002,	1283.7
2003,	904.2
2004,	1213.6
2005,	1086.2
2006,	1179.2
2007,	1200.3
2008,	1295
2009,	1213.3
2010,	950.5

